Name,TradingName,Address1,Address2,Address3,Address4,Address5,PostCode,Latitude,Longitude,HasCows,HasSheep,HasGoats,HasBuffalo,DateOfVisit,ComplianceRating
"Chuckling Goat Ranch, Glynmelyn",Chuckling Goat Ranch,Glynmelyn,BRYNHOFFNANT,,LLANDYSUL,CEREDIGION,SA44 6DS,52.134036,-4.445367,,,YES,,16/10/17,GOOD
"Emma's Dairy, Lower Gazegill Farm",Emma's Dairy,Lower Gazegill Farm,DANCER LANE,RIMINGTON,CLITHEROE,,BB7 4EE,53.912688,-2.273957,YES,,,,03/08/17,GOOD
"E S Burroughs And Sons, Oakland Farm",E S Burroughs And Sons,Oakland Farm,ALDEBY,BECCLES,,SUFFOLK,NR34 0BL,52.481485,1.625844,YES,,,,20/10/17,GOOD
"A & C L Gray, High Pasture Farm",A & C L Gray,High Pasture Farm,SUMMERBRIDGE,,HARROGATE,,HG3 4DP,54.065707,-1.684029,YES,,,,12/06/17,GOOD
"Trude Farm, Trude Farm",Trude Farm,Trude Farm,GOODLEIGH,CROW HILL,BARNSTAPLE,DEVON,EX32 7NH,51.087454,-4.013241,,,YES,,01/06/17,GENERALLY SATISFACTORY
"R & J Morton, Little Arthur Green Farm",R & J Morton,Little Arthur Green Farm,HIGHER TOWN,,ST MARTIN,ISLES OF SCILLY,TR25 0QL,49.96103,-6.278362,YES,,,,24/08/17,GOOD
"Oak Tree Cottage, Oak Tree Cottage",Oak Tree Cottage,Oak Tree Cottage,SUDBURY ROAD,,BURES ST MARY,SUFFOLK,CO8 5JT,51.995417,0.765345,,,YES,,28/07/17,GOOD
"H G Witt And Son, Padtsow Farm",H G Witt And Son,Padtsow Farm,FROG LANE,FORDINGBRIDGE,,HAMPSHIRE,SP6 1BN,50.91066,-1.798305,YES,,,,03/02/16,GOOD
"Top Paddock Farming Partnership, Bulls Fam",Top Paddock Farming Partnership,Bulls Fam,SEDGWICK LANE,HORSHAM,,WEST SUSSEX,RH13 6QE,51.040471,-0.309171,,YES,,,04/05/17,GOOD
"Heath Farm Partnership, Shelford Cottage Farm",Heath Farm Partnership,Shelford Cottage Farm,LUTTERWORTH ROAD,SHELFORD,HINCKLEY,WARWICKSHIRE,LE10 3HN,52.494863,-1.368145,YES,,,,03/10/17,GOOD
"The Calf At Foot Dairy, Hom Farm",The Calf At Foot Dairy,Hom Farm,SOMERLEYTON,,,SUFFOLK,NR 32 5PR,52.512081,1.679052,YES,,,,22/12/16,GENERALLY SATISFACTORY
"D G & J R Browne, Bure Valley Farm",D G & J R Browne,Bure Valley Farm,BURGH ROAD,AYLSHAM,,NORFOLK,NR11 6TZ,52.793121,1.259476,,,YES,,14/09/17,GOOD
"H S Bourne, The Bank",H S Bourne,The Bank,MALPAS,,,CHESHIRE,SY14 7AL,53.008593,-2.834522,YES,,,,03/07/17,GOOD
"Longwood Farm, Longwood Farm",Longwood Farm,Longwood Farm,TUDDENHAM,BURY ST EDMUNDS,,SUFFOLK,IP28 6TB,52.316071,0.55112,YES,,,,27/07/17,GOOD
"S E Alderman, Church Farm",S E Alderman,Church Farm,4 WINSLOW ROAD,SWANBOURNE,MILTON KEYNES,,MK17 0SW,51.938974,-0.836807,YES,,,,30/08/17,GOOD
"Plainspot Farm, Plainspot Farm",Plainspot Farm,Plainspot Farm,PLAINSPOT ROAD,BRINSLEY,NOTTINGHAMSHIRE,,NG16 5BQ,53.049636,-1.317292,YES,,,,16/06/17,GOOD
"Chagfarm Cic, The Old Piggery",Chagfarm Cic,The Old Piggery,CHAGFORD,DEVON,,,TQ13 8DA,50.678511,-3.834562,,,YES,,12/06/17,GOOD
"Christine Page, Smiling Tree Farm",Christine Page,Smiling Tree Farm,CHAPEL LAWN,BUCKNELL,,SHROPSHIRE,SY7 0BW,53.376498,-3.005211,YES,,,,31/07/17,GOOD
"T E Lander, Home Farm",T E Lander,Home Farm,NETHERTON,QUENINGTON,CIRENCESTER,GLOUCESTERSHIRE,GL7 5DD,51.738489,-1.779237,,,YES,,25/08/17,GOOD
"Charles Wray, Wayside Farm",Charles Wray,Wayside Farm,WATFORD ROAD,,KINGS LANGLEY,HERTFORDSHIRE,WD4 8EA,51.709083,-0.447571,YES,,,,16/05/17,GOOD
"High Ash Farm, High Ash Farm",High Ash Farm,High Ash Farm,GOOSE LANE,ABBOTS BROMLEY,STAFFORDSHIRE,,WS15 3DF,52.816675,-1.887285,YES,,,,06/10/17,GOOD
"Peter Hill & Son, Acacia Grove Farm",Peter Hill & Son,Acacia Grove Farm,HARLASTON,TAMWORTH,,STAFFORDSHIRE,B79 9HP,52.695543,-1.667673,YES,,,,13/10/17,GOOD
"Mp Crudge & L M Shere, Four Lanes Farm",Mp Crudge & L M Shere,Four Lanes Farm,ELEIGHWATER,CHARD,,SOMERSET,TA20 3AF,50.901178,-2.949601,YES,,,,21/09/17,GOOD
"P Kerley Contractor Ltd, Middle Dairy",P Kerley Contractor Ltd,Middle Dairy,LOWER ALMER FARM,SPETISBURY,BLANDFORD FORUM,DORSET,DT11 9DY,50.813268,-2.141545,YES,,,,06/06/17,GOOD
"Stone'S Dairy, White House Farm",Stone'S Dairy,White House Farm,INGARSBY ROAD,KEYHAM,LEICESTER,LEICESTERSHIRE,LE7 9JU,52.650018,-0.997161,YES,,,,06/11/17,GOOD
"C L Bowles-Jones, Babbinswood Farm",C L Bowles-Jones,Babbinswood Farm,WHITTINGTON,OSWESTRY,,SHROPSHIRE,SY11 4PF,52.866152,-2.99255,YES,,,,11/09/17,GOOD
"West Country Water Buffalo Limited, Lower Oakley Farm",West Country Water Buffalo Limited,Lower Oakley Farm,CHILTHORNE DOMER,YEOVIL,,SOMERSET,BA22 8RQ,50.978661,-2.660755,,,,YES,11/09/17,GOOD
"A P And C H Sharphouse, Old Hall Farm",A P And C H Sharphouse,Old Hall Farm,BOUTH,ULVERSTON,,CUMBRIA,LA12 8JA,54.260916,-3.036055,YES,,,,31/10/17,GOOD
"R S T & S A Morgan, Woodend Hall Farm",R S T & S A Morgan,Woodend Hall Farm,COTON,WHITCHURCH,,SHROPSHIRE,SY13 3NE,52.908412,-2.689647,YES,,,,08/08/16,GOOD
"Susan Root, Woolgars Farm",Susan Root,Woolgars Farm,BLAKES LANE,WEST HORSLEY,LEATHERHEAD,SURREY,KT24 6EA,51.255224,-0.465245,,,YES,,23/06/17,GOOD
"Alex Heffron And Sam Berry, Mountain Hall Farm Uchaf",Alex Heffron And Sam Berry,Mountain Hall Farm Uchaf,HERMON,GLOGUE,,PEMBROKESHIRE,SA36 0DX,51.956988,-4.614641,YES,,,,19/09/17,GOOD
"Joanne M Power, Teapot Cottage",Joanne M Power,Teapot Cottage,HONEYGAR LANE,WESTHAY,GLASTONBURY,SPMERSET,BA6 9TS,51.177705,-2.813944,,,YES,,Null,Null
"Ahimsa Dairy Foundation, Old Station Works",Ahimsa Dairy Foundation,Old Station Works,STATION ROAD,MANTON,,RUTLAND,LE15 8RY,52.620909,-0.696122,YES,,,,10/10/17,GENERALLY SATISFACTORY
"Stroud Micro Dairy Limited, Oakbrook Farm",Stroud Micro Dairy Limited,Oakbrook Farm,WICK STREET,STROUD,,GLOUCESTERSHIRE,GL6 9HF,51.756825,-2.214742,YES,,,,08/08/17,GOOD
"E. A. Mayhew & Sons Limited, Dairy Farm",E. A. Mayhew & Sons Limited,Dairy Farm,NORWICH ROAD,WOODTON,BUNGAY,SUFFOLK,NR35 2NA,52.508714,1.375415,YES,,,,20/10/17,GOOD
"Heard Cattle Company, Stokehouse Farm",Heard Cattle Company,Stokehouse Farm,BRADNINCH,EXETER,,DEVON,EX5 4LT,50.842158,-3.45014,YES,,,,24/08/17,GOOD
"Wildcroft Rare Breeds, Clear Barn",Wildcroft Rare Breeds,Clear Barn,THE HEATH,PUTTENHAM,,SURREY,GU3 1AL,51.221806,-0.656627,,,YES,,Null,Null
"Queenbower Dairy, Queenbower Dairy",Queenbower Dairy,Queenbower Dairy,ALVERSTONE ROAD,QUEEN BOWER,SANDOWN,ISLE OF WIGHT,PO36 0NZ,50.658029,-1.198304,YES,,,,12/10/17,GOOD
"Drew, Ballyroney Cottage",Drew,Ballyroney Cottage,40 LACKEN ROAD,BALLYRONEY,BANBRIDGE,,BT32 5JA,54.270574,-6.110904,,,YES,,17/01/17,GOOD
"Stewart, 25A Springmount Road",Stewart,25A Springmount Road,BALLYGOWAN,CO DOWN,,,BT23 6NF,54.502251,-5.816753,,,YES,,24/04/17,GOOD
"Culmore Organic Farm, Culmore House ",Culmore Organic Farm,Culmore House ,55 BANN ROAD,KILREA,CO LONDONDERRY,,BT51 5RY,54.966837,-6.542296,YES,,,,31/01/17,GOOD
"Weir's Organic Farm, Prospect House",Weir's Organic Farm,Prospect House,136 BALLYMORE ROAD,MULLAHEAD,TANDRAGEE,CO ARMAGH,BT62 2JZ,54.376811,-6.398885,YES,,,,01/02/17,GOOD
"Clandeboye Estate Co Ltd, Estate Office",Clandeboye Estate Co Ltd,Estate Office,CLANDEBOYE,BANGOR,CO DOWN,,BT19 1RN,54.641385,-5.71665,YES,,,,31/01/17,GOOD
"Hanna, 15 Drumview Road",Hanna,15 Drumview Road,CARRYDUFF,LISBURN,CO DOWN,,BT27 6YF,54.500877,-5.916651,YES,,,,24/04/17,GOOD
